ProteinGroup,S03,S05,S07,S11,S08,S14
c618_a2,1,0,0,0,0,0
d6533_a1,1,0,0,0,0,0
d6227_a1,0,1,0,0,0,0
d8580_a1,0,0,0,0,0,1
d8515_a1,0,0,0,1,0,0
d6409_a1,1,0,0,0,0,0
d5080_a1,0,0,0,0,0,1
d5820_a1,1,0,0,0,0,0
d6849_a1,1,0,0,0,0,0
d8263_a1,0,0,0,1,0,0
d6531_a1,1,0,0,0,0,0
d6225_a1,1,0,0,0,0,0
d8764_a1,0,0,0,1,0,0
d8081_a1,0,0,0,1,0,0
d8044_a1,0,0,0,1,0,0
d2901_a3,1,0,0,0,0,0
d6693_a1,0,0,0,1,0,0
d8602_a1,0,0,0,0,0,1
d6884_a1,1,0,0,0,0,0
d7059_a1,1,0,0,0,0,0
d8103_a1,0,1,0,0,0,0
d8456_a1,0,1,0,0,0,0
d6166_a1,0,0,0,0,0,1
d6908_a1,0,0,0,0,0,1
d7838_a1,0,0,0,1,0,0
d5988_a1,1,0,0,0,0,0
d5011_a1,0,1,0,0,0,0
d8174_a1,0,0,0,0,1,0
d5676_a1,0,1,0,0,0,0
d7463_a1,0,0,0,1,0,0
d7246_a1,0,0,0,1,0,0
d7305_a1,1,0,0,0,0,0
d7964_a1,0,1,0,0,0,0
d7242_a1,0,0,0,0,1,0
d8454_a1,0,0,0,1,0,0
d5108_a1,0,0,1,0,0,0
d6973_a1,0,1,0,0,0,0
d8395_a1,0,1,0,0,0,0
d7183_a1,1,0,0,0,0,0
d7303_a1,0,0,0,1,0,0
d5893_a1,0,0,0,1,0,0
d7743_a1,0,0,0,1,0,0
d5013_a1,0,0,0,0,1,0
d7185_a1,0,0,0,1,0,0
d7524_a1,0,0,0,0,1,0
d5828_a1,0,0,1,0,0,0
d7741_a1,0,0,0,0,1,0
d4963_a1,0,0,0,1,0,0
d6108_a1,0,0,0,1,0,0
d7173_a1,0,0,0,1,0,0
d6923_a1,0,1,0,0,0,0
d8197_a1,0,0,0,0,0,1
d4479_a1,0,1,0,0,0,0
d6539_a1,1,0,0,0,0,0
d6690_a1,0,0,0,1,0,0
d6470_a1,0,0,0,1,0,0
d8691_a1,0,1,0,0,0,0
d8471_a1,0,0,0,1,0,0
d4538_a1,0,1,0,0,0,0
d6708_a1,0,1,0,0,0,0
d8709_a1,1,0,0,0,0,0
d5992_a1,1,0,0,0,0,0
d6928_a1,0,0,0,1,0,0
d4694_a1,0,0,0,1,0,0
d8535_a1,0,0,0,1,0,0
d7562_a1,0,1,0,0,0,0
d6360_a1,0,0,0,0,0,1
d7232_a1,1,0,0,0,0,0
d3996_a1,0,0,0,0,0,1
d6049_a1,1,0,0,0,0,0
d6159_a1,0,0,0,1,0,0
d4589_a1,0,0,0,1,0,0
d8713_a1,0,0,0,0,0,1
d7837_a1,0,1,0,0,0,0
d5625_a1,0,0,0,1,0,0
d8045_a1,0,1,0,0,0,0
d6218_a1,0,0,0,1,0,0
d7951_a1,0,1,0,0,0,0
d6438_a1,0,0,0,0,1,0
d7389_a1,0,1,0,0,0,0
d7499_a1,0,1,0,0,0,0
d8420_a1,0,0,0,1,0,0
d6960_a1,0,1,0,0,0,0
d4716_a1,1,0,0,0,0,0
d6140_a1,0,0,0,0,0,1
d4652_a1,0,0,0,0,0,1
d7012_a1,0,0,0,0,0,1
d6850_a1,0,0,0,0,0,1
d6297_a1,0,0,0,1,0,0
d4711_a1,0,1,0,0,0,0
d7443_a1,0,1,0,0,0,0
d4931_a1,0,0,0,0,0,1
d7663_a1,1,0,0,0,0,0
d6007_a1,0,0,0,0,1,0
d8141_a1,0,0,0,1,0,0
d8205_a1,0,0,1,0,0,0
d8082_a1,0,1,0,0,0,0
d8315_a1,0,0,0,0,0,1
d6081_a1,0,0,1,0,0,0
d8260_a1,0,0,0,0,0,1
d7874_a1,0,0,0,1,0,0
d3286_a3,1,0,0,0,0,0
d3286_a4,0,1,0,0,0,0
d8361_a1,1,0,0,0,0,0
d7054_a1,0,0,1,0,0,0
c133_a3,0,0,0,0,1,0
d2258_a2,0,1,0,0,0,0
d8590_a1,0,1,0,0,0,0
d2027_a3,0,1,0,0,0,0
d8357_a1,0,0,0,0,1,0
d7384_a1,0,1,0,0,0,0
d4826_a1,0,0,1,0,0,0
d6571_a1,0,1,0,0,0,0
d4657_a1,1,0,0,0,0,0
c171_a4,0,0,0,1,0,0
d8617_a1,0,0,0,1,0,0
d8631_a1,0,0,0,0,0,1
d7035_a1,1,0,0,0,0,0
d6983_a1,0,1,0,0,0,0
d5913_a1,0,0,0,0,0,1
d8553_a1,1,0,0,0,0,0
d8078_a1,0,0,0,1,0,0
d7718_a1,0,1,0,0,0,0
d8164_a1,0,0,1,0,0,0
d6672_a1,1,0,0,0,0,0
d7659_a1,1,0,0,0,0,0
d6393_a1,1,0,0,0,0,0
d5053_a1,0,0,0,1,0,0
d7255_a1,0,1,0,0,0,0
d7975_a1,0,1,0,0,0,0
d6121_a1,0,1,0,0,0,0
d6827_a1,0,0,0,0,0,1
d7892_a1,0,0,0,1,0,0
d7696_a1,0,0,1,0,0,0
d6356_a1,1,0,0,0,0,0
d6576_a1,0,0,0,1,0,0
d7314_a1,1,0,0,0,0,0
d6415_a1,0,0,0,1,0,0
d7424_a1,0,1,0,0,0,0
d6635_a1,0,0,0,0,1,0
d6768_a1,0,0,0,1,0,0
d8352_a1,0,1,0,0,0,0
d7644_a1,0,0,0,0,1,0
d8242_a1,1,0,0,0,0,0
d6988_a1,0,0,1,0,0,0
d6745_a1,1,0,0,0,0,0
c190_a2,0,0,1,0,0,0
