ProteinGroup,F06,F01,F07,F08
19722b5e-ff7d-4b8d-a4d3-04cf69d943ff,0,2,0,0
391f5ca0-4c37-42db-ab07-0c3364e2251c,0,2,0,0
c18b56f6-ec92-498f-ac0f-9e432d72ff05,0,2,0,0
a8c28375-1092-49db-8be5-b80d58b9006c,2,0,0,0
bf2c5e20-a9cf-43ef-a963-15bb9f2e50e1,0,2,0,0
cfa52157-047c-40e2-bbe3-049641b41e1d,0,0,2,0
3129eb8c-2a75-47ee-9c98-112a7c42cc27,0,2,0,0
7678375d-1390-4b28-be7e-9ada18ed448b,0,2,0,0
749a0e0f-1d63-4291-9707-7993cf5de94e,0,0,2,0
3c93ecee-000a-4d13-b65d-78eee0768eca,0,2,0,0
e1197386-46d2-41c9-912a-22b7b08293e6,0,2,0,0
2af11354-e2e3-4e11-a43b-3cc0008ce5e3,0,2,0,0
fa0802c7-1f7c-43ec-ba86-edcf180da9f6,0,0,2,0
8b8fdeb1-5f5b-4b14-b759-b311b25d65b0,0,2,0,0
dd438835-0413-466b-8b45-d334a4ba8401,0,0,0,2
1905d76a-af60-4359-927d-527a27cc7ec3,0,2,0,0
fb3698ee-7a9c-48df-bfba-ad7dcdab2bf9,0,2,0,0
6b5a51af-7e95-409d-a091-f36d094f9488,0,2,0,0
daf482bf-4751-4c45-bf50-d24a3a2a1260,2,0,0,0
62fac972-7650-4adf-8f9e-030aa193f78a,2,0,0,0
8d61c1a4-7c38-4135-8a52-363714878e6c,0,0,2,0
9edc3e14-40bd-48e1-a282-86bc84239a1f,0,0,2,0
01759789-927e-4cb4-bb09-5c679d34f61d,0,2,0,0
53ad0c93-6d02-4ac3-b82c-4c81f639da7c,0,0,0,2
ca52f523-6ee2-4ef4-a5da-ed4de4f99a04,0,2,0,0
76731d95-bd22-482b-b0da-60f07a1e7d30,0,0,2,0
11d5f37e-1faa-418a-b5ee-6d2645531b73,0,0,2,0
647ddfed-5b57-4902-ba6e-3bf6725ae103,0,0,0,2
d8f6bd7f-b44e-43dd-b868-d5205c1f1896,0,2,0,0
904fe9c9-4dcc-4d0b-8d5d-bf901963c63b,0,2,0,0
0eda5483-2aa2-4b3b-8ed8-ba30232f0bf4,0,2,0,0
f2c7e055-b98e-4853-85c0-666abc961528,0,0,2,0
7442b7ac-b4bf-4c85-bea7-593b7e6bc2bb,0,2,0,0
509858b2-a4b0-4085-a94a-e307a2592594,0,2,0,0
12038c70-ac59-43c2-a0d1-d22cbcd7e92c,0,2,0,0
bd444db4-c8da-4199-826f-27d088c925b2,0,2,0,0
b8024a57-916c-4017-83d8-d790db398827,0,2,0,0
60ee2109-c99b-432c-bf8c-caab2da853ea,0,2,0,0
755c6609-8628-4afd-b38e-1a833a6dce58,0,2,0,0
4ac0d9d2-3a6a-4ba5-a4dc-90407958f704,0,2,0,0
c60692ef-dc71-46a7-8168-c3d659871fe8,0,2,0,0
4c805239-1e01-4bae-9367-6585e134a588,2,0,0,0
8c12302b-7eb0-4a73-8886-ad9d27f5df54,0,2,0,0
4d4822d8-1872-4dfc-8895-57f2d17df6aa,0,0,2,0
6cca9bc4-07ec-476d-81e8-5ef5b8a74a39,0,2,0,0
c6ac7332-818c-4983-9522-25b7d2243864,0,2,0,0
