ProteinGroup,F06,F01,F07,F08
ef9bbd98-2920-44f9-aeb4-caf922920378,212,362,354,98
e002ffc3-81fd-4446-960e-d433fc508f8d,238,156,520,108
f5f54c1d-38e0-44a2-9534-cba6b8787a88,250,268,450,54
5e46a9b2-a131-41f3-ab69-82dc451d02eb,230,272,408,110
f9418f1f-2c1d-4a9b-9be6-3b5ed157669d,220,292,424,84
1cbc648f-0e87-46b6-823e-daa3c8606771,182,332,400,106
3bf4df4c-a26c-4659-a962-840563a58a35,184,310,394,130
cb2e263e-0f4c-4946-b069-6666a2ac0f90,156,466,268,128
8ce5fee1-5634-4819-9927-df7a9cee9915,122,452,244,200
fb366f3b-c83b-4ad5-b86c-1ef073885927,206,384,334,90
87673180-108a-42ed-b6d2-a233b2bbfa0a,238,192,506,78
7040b2b9-7575-4c2c-9684-ec0d248e6619,212,272,408,122
e7d6e93e-0f76-45e4-91fd-8e44e913f56b,190,352,384,88
a002362f-780d-44da-8022-3b995ff72a65,260,220,450,80
ea5a0a4b-a78c-4129-a2f2-b8561ca4fc11,240,246,368,156
aa19de64-6c71-423c-8d8d-113e498d0136,192,304,354,154
f6a34823-02a5-4726-bf7e-148cd002367f,252,110,414,226
6b53a501-9aa0-4452-89c7-8f47dfd034b2,208,284,424,84
0841d484-ec7d-448e-b3e3-59583cfc25cd,222,248,424,106
c6275c57-dfd4-4ca6-96fb-d5ba1b4a33e6,130,490,298,80
20c33e31-7e1e-44d3-9217-d4b15b382e83,90,364,172,372
21ca13ac-a298-41b3-ac7d-f31cfe532af2,204,298,412,82
756399ab-816b-4239-9e7e-cdf86d6d4293,254,210,472,56
263eadd5-8213-47aa-a6ae-658f2dda47f0,258,174,396,162
c8363241-9cdb-4864-9292-e87969b24fc8,182,412,304,90
a9070266-3e4e-4a43-ad29-b8f880f60ad6,230,272,410,74
d37bf46f-48d1-4d8b-af10-0776a763bd27,270,158,408,148
0911ba22-e845-40bf-bf64-a26b7508a736,196,270,442,76
6f65028a-8d5a-402d-9fa3-09f210f8665c,158,350,382,94
392c7333-59ad-4573-983c-4030c665a85c,90,602,170,120
807534b6-6039-4978-a923-9cf34c55ce75,156,446,302,76
fdc143d2-38c6-470f-895e-265630352d71,130,422,308,118
6a22ba0e-108d-4b7e-a9b3-dec078fe20df,266,230,438,44
d80abc80-a738-42db-aef6-757c1182e137,212,290,406,68
28533963-06f0-4b15-b594-641c7037a388,224,274,386,90
b7891f20-9758-4bd8-ace8-07dba3b25426,224,194,478,78
2e1fde1b-111c-402b-9b5b-64015d9d9180,154,404,282,134
0e00559a-0e57-4b42-8beb-1eb9eb5636ac,210,242,422,98
