KEGG	Percent	Count
K01586	0.028268062	1274
K07689	0.000687841	31
K04477	0.001331306	60
K03720	0.000754407	34
K02217	0.01286929	580
K07782	0.000776595	35
K01284	0.001775075	80
K10773	0.00113161	51
K20487	0.000443769	20
K11755	0.01160455	523
K02500	0.018638283	840
K04034	0.003350453	151
K00928	0.030997239	1397
K02342	0.001309117	59
K09812	0.014866249	670
K03455	0.002107901	95
K20490	0.001264741	57
K01433	0.020546488	926
K01079	0.026803626	1208
K20491	0.000754407	34
K04759	0.003483584	157
K11927	0.022676577	1022
K20492	0.000776595	35
K01814	0.021278706	959
K02501	0.013335247	601
K20488	0.000687841	31
K00012	0.02376381	1071
K01790	0.010983274	495
K20780	0.011271723	508
K03216	0.000332826	15
K00041	0.030109702	1357
K04655	0.00226322	102
K12151	0.000377203	17
K02529	0.02405226	1084
K01812	0.034347692	1548
K03723	0.004703948	212
K03885	0.000244073	11
K22041	0.000909726	41
K06077	0.000576899	26
K01910	0.001708509	77
K03088	0.000665653	30
K03518	0.000554711	25
K13479	0.000909726	41
K06221	0.020169284	909
K01990	0.001198175	54
K07005	0.010739201	484
K00087	0.000177507	8
K03823	0.000931914	42
K13927	0.002130089	96
K22441	0.000732218	33
K09024	0.000576899	26
K09016	0.000465957	21
K09018	0.001220364	55
K09020	0.000732218	33
K09021	0.000443769	20
K13821	0.005081151	229
K00574	0.000820972	37
K04488	0.000532522	24
K01223	2.22E-05	1
K01838	0.000643465	29
K01916	0.00113161	51
K04064	0.00042158	19
K02760	0.00042158	19
K23753	0.024030072	1083
K17249	0.001797263	81
K02574	0.030375963	1369
K07001	0.019636762	885
K00840	0.000954103	43
K12988	0.001109422	50
K00673	0.000465957	21
K02761	0.001819451	82
K07106	0.00113161	51
K15835	0.001109422	50
K00075	0.001264741	57
K03589	0.000976291	44
K03588	0.001730698	78
K02563	0.001508813	68
K02761	0.001508813	68
K00286	0.000998479	45
K02759	0.000399392	18
K03490	0.000643465	29
K03590	0.001531002	69
K03531	0.001397871	63
K00854	0.028112743	1267
K21755	0.001397871	63
K00941	0.018638283	840
K00645	0.019126428	862
K01903	0.025649827	1156
K01902	0.015265641	688
K03150	0.000199696	9
K22438	0.000465957	21
K01915	0.03607839	1626
K18206	0.001020668	46
K00633	0.000798784	36
K03742	0.001752886	79
K03060	0.00028845	13
K00942	0.000599088	27
K00995	0.000998479	45
K02871	0.000510334	23
K14441	0.001641944	74
K02996	0.000377203	17
K09777	0.000133131	6
K03546	0.00607963	274
K01191	0.00494802	223
K08156	0.003084192	139
K00852	0.002218843	100
K06894	0.000510334	23
K04068	0.000355015	16
K03723	0.000310638	14
K16326	0.000443769	20
K01255	0.003594526	162
K17320	0.001486625	67
K07347	0.003150757	142
K15540	0.001087233	49
K17319	0.001664132	75
K01874	0.000576899	26
K02445	0.002928873	132
K18968	0.001797263	81
K03621	0.000199696	9
K07720	0.002817931	127
K07053	0.001531002	69
K07718	0.00255167	115
K07053	0.001153798	52
K17318	0.00297325	134
K17320	0.001819451	82
K09913	0.000532522	24
K14591	0.000976291	44
K17319	0.002107901	95
K05820	0.002174466	98
K00891	0.001309117	59
K11261	0.000954103	43
K07456	0.003217323	145
K09768	0.001397871	63
K03824	0.001109422	50
K00286	0.000954103	43
K24088	0.001264741	57
K01918	0.001087233	49
K00606	0.000954103	43
K07345	0.00042158	19
K00342	0.001331306	60
K07345	0.000687841	31
K19701	0.001175987	53
K13635	0.000355015	16
K06403	0.000266261	12
K10563	0.001198175	54
K06404	0.000665653	30
K13573	0.001508813	68
K03328	0.000887537	40
K07718	0.003084192	139
K09704	0.002618235	118
K01191	0.004992397	225
K07720	0.002329785	105
K15913	0.000155319	7
K20997	0.001042856	47
K16702	0.000465957	21
K19427	0.000732218	33
K18908	0.001996959	90
K13684	0.001087233	49
K17716	0.001153798	52
K01740	0.000399392	18
K03088	0.000909726	41
K02362	0.001065045	48
K12944	0.00042158	19
K07776	0.000954103	43
K10012	0.000488145	22
K07214	0.001264741	57
K03281	0.00155319	70
K07806	0.000976291	44
K19611	0.002218843	100
K02364	0.005214281	235
K02003	0.00084316	38
K07214	0.000221884	10
K02484	0.001109422	50
K23188	0.001042856	47
K05789	0.001486625	67
K03733	0.001397871	63
K23187	0.00113161	51
K06889	0.000732218	33
K03585K02005	0.001752886	79
K02003	0.000865349	39
K00057	0.001065045	48
K08591	0.001309117	59
K03977	0.002152278	97
K00948	0.001996959	90
K05810	0.001708509	77
K03930	0.001930394	87
K01425	0.000798784	36
K19337	0.000643465	29
K08968	0.000443769	20
K02026	0.000155319	7
K06203	0.000355015	16
K03528	0.001619756	73
K01972	0.001242552	56
K03701	0.000266261	12
K00560	0.001464436	66
K03308	0.002285408	103
K03701	0.000199696	9
K03701	0.000244073	11
K15460	0.01852734	835
K21469	0.001065045	48
K01338	0.048015766	2164
K19575	0.001020668	46
K00773	0.021678098	977
K01223	0.002307597	104
K11720	0.02178904	982
K19775K05799	0.001730698	78
K00287	0.001242552	56
K14082	0.001153798	52
K02939	0.000399392	18
K22927	0.002840119	128
K21084	0.002462916	111
K07720	0.002995438	135
K07718	0.003172946	143
K02027	0.002840119	128
K03284	0.001752886	79
K15268	0.001775075	80
K22293	0.00084316	38
K08138	0.001242552	56
K10110	0.001198175	54
K16066	0.00113161	51
K10117	0.002351974	106
K00873	0.002573858	116
K18967	0.002817931	127
K07059	0.001242552	56
K01586	0.001065045	48
K18350	0.001397871	63
K01838	0.000976291	44
K11641	0.001442248	65
K07718	0.002152278	97
K02761	0.001397871	63
K16044	0.000998479	45
K07053	0.000820972	37
K18908	0.001486625	67
K13598	0.022720954	1024
K01652	0.003505772	158
K03710	0.001109422	50
K15831	0.000887537	40
K21024	0.002462916	111
K12142	0.002329785	105
K00052	0.001397871	63
K01874	0.000998479	45
K01687	0.0026848	121
K01874	0.001042856	47
K19337	0.000909726	41
K07979	0.000621276	28
K15829	0.001286929	58
K02622	0.001664132	75
K15828	0.00042158	19
K02565	0.00155319	70
K02761	0.001863828	84
K01223	0.002285408	103
K03923	0.000754407	34
K03839	0.000798784	36
K10254	0.002418539	109
K07645	0.002462916	111
K02027	0.002440727	110
K19350	0.00184164	83
K07720	0.002374162	107
K07258	0.001309117	59
K04763	0.038230668	1723
K02024	0.00084316	38
K12308	0.003905164	176
K02753	0.002396351	108
K07718	0.00310638	140
K01223	0.002085713	94
K20453	0.000465957	21
K07706	0.003505772	158
K03701	0.003882976	175
K10109	0.002618235	118
K08315	0.000599088	27
K10108	0.001886017	85
K15834	0.000377203	17
K12941	0.001220364	55
K07979	0.000599088	27
K02777	0.000177507	8
K02004K05685	0.041425802	1867
K02757	0.002529481	114
K01223	0.001309117	59
K18940	0.001464436	66
K02003	0.012181449	549
K05685	0.040449511	1823
K02005	0.023564114	1062
K12340	0.030220644	1362
K01811	0.003727657	168
K07714	0.024606971	1109
K21572	0.036677478	1653
K00661	0.000865349	39
K21572	0.030930674	1394
K01205	0.037542826	1692
K18350	0.000887537	40
K21573	0.053296613	2402
K07699	0.000576899	26
K07079	0.001020668	46
K03183	0.000954103	43
K01787	0.023941318	1079
K01754	0.003084192	139
K07113	0.000510334	23
K01613	0.000887537	40
K17103	0.000887537	40
K21755	0.001486625	67
K16263	6.66E-05	3
K01687	0.003128569	141
K00826	0.001664132	75
K03769	0.000665653	30
K20487	0.001397871	63
K20488	0.00113161	51
K11258	0.000266261	12
K00053	0.00297325	134
K03656	0.00381641	172
K01652	0.000954103	43
K01652	0.001797263	81
K00096	0.002019147	91
