KEGG	Percent	Count
K06881	0.00035537	36
K09955	5.92284E-05	6
K03527	1.97428E-05	2
K17256	0.003237819	328
K19613	0.001530067	155
K00371	5.92284E-05	6
K00370	0.000306013	31
K02575	5.92284E-05	6
K00373	1.97428E-05	2
K00244	5.92284E-05	6
K07141	3.94856E-05	4
K00087	1.97428E-05	2
K12998	0.000227042	23
K03657	0.000582413	59
K03924	7.89712E-05	8
K09667	0.0001382	14
K07114	7.89712E-05	8
K18009	0.0001382	14
K15738	0.000177685	18
K10773	0.0001382	14
K21573	0.002300036	233
K07165	0.000335628	34
K03088	1.97428E-05	2
K03046	0.000118457	12
K03612	1.97428E-05	2
K03043	0.000523184	53
K07114	0.000276399	28
K13694	9.8714E-06	1
K12373	0.000207299	21
K02495	9.8714E-06	1
K19077	3.94856E-05	4
K03671	0.000296142	30
K00928	2.96142E-05	3
K00566	0.000266528	27
K08153	6.90998E-05	7
K16918	5.92284E-05	6
K16210	0.003918946	397
K01735	1.97428E-05	2
K22300	8.88426E-05	9
K01956	1.97428E-05	2
K01915	0.000217171	22
K19304	1.97428E-05	2
K18855	8.88426E-05	9
K06882K24456	1.97428E-05	2
K21562	0.000177685	18
K01190	3.94856E-05	4
K10804	1.97428E-05	2
K07407	0.000286271	29
K12373	0.000207299	21
K15921	5.92284E-05	6
K05989	1.97428E-05	2
K08602	4.9357E-05	5
K03750	9.8714E-06	1
K03753	9.8714E-06	1
K03798	1.97428E-05	2
K00794	6.90998E-05	7
K12373	0.000157942	16
K22108	1.97428E-05	2
K07776	1.97428E-05	2
K11068	9.8714E-06	1
K00971	7.89712E-05	8
K03798	0.000236914	24
K07636	4.9357E-05	5
K07030	7.89712E-05	8
K00899	5.92284E-05	6
K07462	1.97428E-05	2
K02355	0.000266528	27
K15022	1.97428E-05	2
K21688	0.000108585	11
K07098	0.000157942	16
K02621	5.92284E-05	6
K02238	0.000256656	26
K04069	0.004540844	460
K00656	0.01452083	1471
K01482	1.97428E-05	2
K03631	4.9357E-05	5
K18908	7.89712E-05	8
K05346	0.000128328	13
K07091	3.94856E-05	4
K00876	0.0001382	14
K01620	1.97428E-05	2
K00325	0.000167814	17
K03088	0.000365242	37
K07495	0.001046368	106
K03604	6.90998E-05	7
K03282	9.8714E-06	1
K09667	7.89712E-05	8
K02836	1.97428E-05	2
K22299	9.8714E-06	1
K01689	0.000384985	39
K03086	6.90998E-05	7
K00817	1.97428E-05	2
K19693	5.92284E-05	6
K17686	7.89712E-05	8
K01129	9.8714E-05	10
K02316	0.000197428	20
K15524	9.8714E-06	1
K00216	3.94856E-05	4
K07407	1.97428E-05	2
K02849	3.94856E-05	4
Kdo	5.92284E-05	6
K03091	1.97428E-05	2
K00754	1.97428E-05	2
K07271	9.8714E-06	1
K01009	5.92284E-05	6
K10947	6.90998E-05	7
K17234	0.00035537	36
K05837	0.000345499	35
K07720	1.97428E-05	2
K02340	0.000157942	16
K07718	1.97428E-05	2
K02027	8.88426E-05	9
K06889	3.94856E-05	4
K01069	3.94856E-05	4
K02026	5.92284E-05	6
K10118	9.8714E-06	1
K04047	7.89712E-05	8
K03523	1.97428E-05	2
K05592	4.9357E-05	5
K18889	1.97428E-05	2
K03979	0.000681127	69
K07574	4.9357E-05	5
K00969	0.000197428	20
K09710	0.000769969	78
K01356	0.004057146	411
K03733	0.000227042	23
K17363	1.97428E-05	2
K14163	1.97428E-05	2
K14699	0.000108585	11
K03570	0.0001382	14
K03569	0.000365242	37
K16051	1.97428E-05	2
K17993	0.000108585	11
K05837	0.000217171	22
K05515	0.000671255	68
K21571	1.97428E-05	2
K03100	8.88426E-05	9
K03060	1.97428E-05	2
K01448	0.001095725	111
K03733	1.97428E-05	2
K02171	1.97428E-05	2
K06180	4.9357E-05	5
K23518	3.94856E-05	4
K00609	9.8714E-06	1
K00610	6.90998E-05	7
K06595	5.92284E-05	6
K21900	1.97428E-05	2
K02051	1.97428E-05	2
K12952	3.94856E-05	4
K03695	0.000957526	97
K03088	0.000118457	12
K07251K01009	0.0001382	14
K04023	0.000157942	16
K07251	3.94856E-05	4
K03298	4.9357E-05	5
K01624	0.000128328	13
K08352	0.005014671	508
K00184	0.000345499	35
K03208	0.000227042	23
K06941	4.9357E-05	5
K00595	1.97428E-05	2
K05362	4.9357E-05	5
K13010	7.89712E-05	8
K15915	6.90998E-05	7
K01462	3.94856E-05	4
K02072	3.94856E-05	4
K02990	0.000335628	34
K02071	9.8714E-06	1
K02073	8.88426E-05	9
K00963	7.89712E-05	8
K07658	2.96142E-05	3
K11927	0.000227042	23
K03429	0.000315885	32
K06889	1.97428E-05	2
K01876	1.97428E-05	2
K23684	0.000227042	23
K01358	3.94856E-05	4
K05658	0.00042447	43
K03215	0.0001382	14
K14059	1.97428E-05	2
K03768	0.000394856	40
K09667	0.000769969	78
K00940	0.000394856	40
K17996	0.00042447	43
K17995	0.000187557	19
K17994	0.0001382	14
K17993	0.00035537	36
K03569	0.000681127	69
K03570	0.000246785	25
K05515	0.000404727	41
K05837	0.000148071	15
K06883	0.000197428	20
K02945	0.001520196	154
K03615	7.89712E-05	8
K00688	3.94856E-05	4
K00812	1.97428E-05	2
K00147	3.94856E-05	4
K12555	1.97428E-05	2
K23536	1.97428E-05	2
K23535	3.94856E-05	4
K14059	1.97428E-05	2
K16789	1.97428E-05	2
K02428	0.000108585	11
K01776	0.000256656	26
K18962	0.000266528	27
K03977	0.000177685	18
K08591	0.000167814	17
K14208	0.0001382	14
K01726	2.96142E-05	3
K11934	0.000108585	11
K03827	2.96142E-05	3
K03651	7.89712E-05	8
K03672	7.89712E-05	8
K20341	1.97428E-05	2
K07335	0.000148071	15
K20323	0.000108585	11
K03816	3.94856E-05	4
K02004K01421	5.92284E-05	6
K03975	9.8714E-06	1
K02970	0.000394856	40
K00057	0.0001382	14
K03312	3.94856E-05	4
K03789	0.000197428	20
K00857	2.96142E-05	3
K18915	0.003060134	310
K23997	0.001224054	124
K06182	0.0001382	14
K00567	7.89712E-05	8
K01783	8.88426E-05	9
K04487	0.000118457	12
K04486	7.89712E-05	8
K07164	0.000236914	24
K07056	0.000434342	44
K02902	0.000197428	20
K07030	0.001214182	123
K13479	1.97428E-05	2
K03655	0.000187557	19
K08316	4.9357E-05	5
K06180	6.90998E-05	7
K02121	0.000177685	18
K07040	0.000167814	17
K03497	0.000306013	31
K03496	6.90998E-05	7
K02836	0.003218077	326
K03621	0.000266528	27
K03685	0.000404727	41
K01914	8.88426E-05	9
K03529	1.97428E-05	2
K02564	0.000306013	31
K08483	0.000997011	101
K02392	0.002319779	235
K02391	0.001303025	132
K00003	0.006307825	639
K06209	0.000799583	81
K07718	0.000207299	21
K07720	0.0001382	14
K10441	0.002971291	301
K03183K06987	0.000118457	12
K01537	9.8714E-06	1
K15585	1.97428E-05	2
K21900	3.94856E-05	4
K15633	0.000197428	20
K08744	2.96142E-05	3
K02006	0.000118457	12
K02008	2.96142E-05	3
K02007	1.97428E-05	2
K02032	3.94856E-05	4
K02031	1.97428E-05	2
K14652	5.92284E-05	6
K02035	1.97428E-05	2
K00873	0.000108585	11
K02341	0.000217171	22
K01091	9.8714E-05	10
K03281	0.000108585	11
K24180	1.97428E-05	2
K04892	9.8714E-06	1
K06396	2.96142E-05	3
K21600	9.8714E-06	1
K07213	8.88426E-05	9
K17686K19597	0.001737366	176
K08483	0.000315885	32
K02502	0.000118457	12
K22132	1.97428E-05	2
K06348	9.8714E-06	1
K06864	2.96142E-05	3
K15640	1.97428E-05	2
K14059	4.9357E-05	5
K01512	0.000118457	12
K19302	0.000384985	39
K03530	5.92284E-05	6
K03797	1.97428E-05	2
K01439	0.000947654	96
K02051	0.000207299	21
K24131	9.8714E-06	1
K21471	0.0001382	14
K00286	0.000157942	16
K03152	2.96142E-05	3
K24073	0.000128328	13
K01647	0.00035537	36
K07133	5.92284E-05	6
K03699	3.94856E-05	4
K05989	1.97428E-05	2
K18650	1.97428E-05	2
K14441	2.96142E-05	3
K02027	7.89712E-05	8
K12950	3.94856E-05	4
K03763	5.92284E-05	6
K07126	1.97428E-05	2
K01951	0.000118457	12
K02986	0.000404727	41
K21744	2.96142E-05	3
K01955	0.003622804	367
K01956	0.000286271	29
K03830	0.000246785	25
K12063	1.97428E-05	2
K03581	0.000641641	65
K02395	0.001085854	110
K01643	9.8714E-06	1
K01677	9.8714E-06	1
K01687	3.94856E-05	4
K01652	2.96142E-05	3
K03088	9.8714E-06	1
K22432	0.016949194	1717
