KO_MANTIS_CONSENSUS	QUANT
K10547	4
K10548	28
K10541	382
K10542	930
K06080	40
K10543	665
K10544	10
K02950	1716
K19360	7
K21672	266
K01626	18
K06079	239
K06078	745
K01627	317
K01624	14294
K02956	1327
K01625	1340
K03802	10
K02954	654
K03801	12
K01623	228
K03800	48
K01620	167
K00773	90
K02952	2416
K01621	74
K10551	4
K01619	1386
K06075	29
K06077	314
K02948	1643
K08253	4
K06076	806
K00760	170
K00761	408
K21681	3
K18045	2
K00768	145
K02946	1892
K01613	128
K02945	5722
K00766	53
K00767	275
K00764	1264
K01611	4
K00765	27
K00762	1371
K00763	194
K01610	25836
K06020	498
K08681	1
K19333	4
K19334	75
K10524	1
K19337	49
K18009	567
K19341	2
K08676	588
K07343	1
K07346	1
K00712	12
K07345	121
K06016	559
K06019	23
K08678	20
K07349	2
K08679	104
K07340	82
K00705	387
K18014	32
K18015	1
K10536	168
K10537	129
K10538	1
K10539	42
K19353	1
K19354	32
K09996	5
K06002	116
K06001	574
K00703	2258
K09994	1
K00700	1488
K07335	3402
K07338	2784
K02919	139
K06042	22
K08221	14
K09552	769
K06041	233
K02916	311
K20780	48
K18474	145
K02914	186
K02913	655
K02911	254
K08218	3
K21636	40
K06039	13
K08217	1
K02909	1196
K02907	950
K02906	4139
K00729	50
K02904	766
K07354	4
K02902	1227
K07357	1
K00721	102
K15973	3
K15974	42
K15977	8
K13797	5262
K14647	9
K14645	1
K03500	28
K02653	8
K02652	14
K04835	411
K02650	178
K03980	3
K02657	5
K02656	11550
K03502	1
K11144	37
K14652	649
K11145	1
K15986	357
K15987	704
K03973	56
K03972	162
K01795	725
K01792	71
K03970	6
K01790	320
K01791	485
K23121	16
K03979	187
K22278	688
K02647	386
K03978	80
K03977	598
K01798	895
K03976	21
K03975	32
K01312	389
K13772	6
K12448	155
K14623	1
K03522	2090
K00012	925
K03521	1682
K00013	263
K00010	2385
K21395	362
K21394	11
K03529	78
K00018	586
K03527	37
K00019	9
K00016	776
K03526	159
K03525	25
K03524	27
K00014	154
K19082	3
K00015	1
K12453	51
K13789	19
K13788	997
K02664	1
K04844	1
K00002	8
K02662	4
K20074	124
K00009	168
K03518	1
K01338	1259
K03517	294
K02669	64
K00008	653
K00005	1
K19091	11
K00003	240
K23107	47
K00004	22
K10240	979
K10241	22
K07071	4
K07075	14
K02619	2
K07078	138
K01761	1
K01760	17
K19064	2
K22226	54
K02614	14
K02612	12
K00432	115
K02609	1
K07067	14
K11102	2
K11105	100
K01751	282
K19075	2
K19076	2
K19077	6
K19078	12
K22230	67
K07058	16
K01759	180
K00428	19
K01756	1644
K07059	67
K01754	598
K02601	495
K03932	1215
K01755	392
K01752	194
K03931	85
K02600	1306
K01753	4
K03930	92
K07095	43
K07098	24
K13732	2
K10222	2
K07091	30
K01783	58
K01784	2120
K01782	1
K20021	73
K18197	54
K19046	1
K23536	41
K23537	138
K00459	184
K01787	1
K01788	163
K01785	2314
K23535	9
K07082	22
K12410	145
K07085	43
K07089	2
K13747	92
K13746	5
K19049	6
K15923	65
K10236	1148
K15921	73
K19050	2
K19052	128
K01770	46
K19055	3
K21363	20
K23547	13
K07079	570
K20037	3
K01778	17
K20035	2661
K01776	36
K02623	2
K02622	1
K01775	2
K02621	514
K16422	27
K12063	6
K17752	53
K03590	799
K00078	152
K03588	13
K03587	94
K00076	8
K03585	1142
K00077	167
K00074	446
K03584	13
K03100	424
K24042	18
K00075	158
K03583	1
K15580	2857
K15581	4
K03106	130
K03589	7
K15584	47
K15585	76
K15582	2
K15583	23
K03580	11
K00067	585
K03576	1
K00068	24
K00065	250
K03575	5
K06606	74
K03574	78
K06605	58
K02243	2
K06608	3
K03572	489
K02240	7
K03571	3
K03570	12
K14260	228
K03578	6
K17734	87
K13378	221
K15553	7
K11195	2386
K05790	15
K15550	1
K17737	1
K05305	108
K05789	45
K02279	1
K00098	1
K00099	129
K00096	34
K00094	300
K05781	1
K05785	91
K05787	144
K05788	41
K16898	156
K17742	1
K20918	1
K12053	1
K00090	3
K00091	10
K24040	24
K16899	162
K03599	51
K00087	175
K03113	28
K03596	106
K00088	4623
K03595	130
K03111	477
K03110	678
K00086	1
K03594	885
K03593	133
K03592	634
K23187	2
K05775	22
K03118	12
K05776	41
K03116	256
K11175	97
K15533	22
K11176	36
K11177	1
K15532	110
K15530	116
K17716	6
K16868	30
K14205	2
K17713	3
K03544	831
K00034	1
K03543	2299
K00033	421
K_trans	2
K00030	163
K00031	455
K03549	2
K03548	27
K02217	3917
K03547	17
K03546	206
K00036	696
K03545	774
K14213	776
K17723	545
K15545	4
K17722	777
K16875	3
K15540	1
K11183	31
K11184	636
K16870	13
K15548	14
K15549	4
K24012	151
K01354	5
K00024	6425
K03531	2523
K02200	2
K03530	5957
K00020	92
K02680	1
K00029	1096
K00027	926
K01358	926
K24017	1
K03536	2
K01356	123
K24018	1
K00026	337
K03534	24
K02687	29
K15519	1
K00060	9
K00057	186
K03565	29
K02234	158
K03564	279
K00055	4
K02232	197
K03563	55
K00052	541
K02231	8
K03562	29
K00053	4385
K03561	4465
K02230	1488
K03569	1281
K02238	22
K00058	2563
K03568	664
K00059	637
K15524	43
K03555	188
K02224	6
K00046	693
K03553	1565
K22293	97
K22292	14
K01372	1151
K00041	1204
K03551	57
K22299	1
K03550	28
K00042	22
K23144	1621
K00040	48
K23147	123
K03559	3231
K03558	8
K03557	12
K00048	1616
K01379	2
K21739	237
K19419	1
K17236	7
K11932	185
K19411	1
K11931	1
K11934	361
K03072	4
K03071	84
K03070	3800
K11930	3
K11936	97
K18572	24
K19420	2
K18573	2
K17249	42
K17248	20
K18574	354
K19422	1
K19423	2
K19424	8
K03060	136
K19425	21
K18579	80
K19427	11
K18581	184
K17253	6
K21741	12
K17250	1
K21746	1
K21745	11
K21744	1
K08744	9
K21743	1
K14187	196
K00817	155
K07451	3
K16363	714
K03095	1
K03092	76
K03091	3
K03090	2
K03088	69
K03086	822
K00812	1423
K14194	71
K20861	9
K06595	6
K00813	179
K07444	311
K06113	346
K16370	69
K07447	41
K20866	7
K21711	1
K06117	2
K07448	1
K00805	1
K00806	118
K00803	1
K11921	5
K19405	1
K11928	2
K03079	44
K03077	138
K11927	156
K03076	458
K03075	146
K09612	2
K00800	87
K16348	26
K20848	305
K20846	80
K14163	1873
K14170	2
K17680	1
K05685	152
K04357	1
K20859	228
K17686	388
K15023	3564
K15024	2078
K02172	310
K18530	1
K02171	66
K18534	1
K02169	1
K03499	57
K03497	2
K03496	376
K03495	193
K15477	3
K16322	9
K04380	1
K15474	1
K15475	1
K16329	10
K07407	1172
K03048	58
K07406	118
K03046	13170
K02199	1538
K08738	32
K02197	3
K03043	10268
K07403	147
K07402	18
K07405	1052
K07404	65
K14155	147
K14153	1
K03040	3953
K08728	14
K02189	185
K02188	28
K14162	17
K08723	1
K10680	6
K09691	29
K06181	1
K06180	172
K10681	1
K09692	11
K11530	187
K09690	4
K23518	1
K09696	3
K06187	9
K09693	1
K06186	1
K07033	42
K01728	117
K11535	13
K10206	496
K10202	1
K11534	13
K20480	21
K20487	56
K07025	19
K06178	1455
K23514	6
K20488	50
K00879	6
K06177	2
K00876	545
K20485	1
K06179	1
K07029	236
K00874	1012
K00872	61
K00873	4373
K23997	177
K09681	37
K08350	1
K11540	4932
K01719	195
K06173	2
K07023	13
K06176	1
K10211	22
K10213	1
K10697	6
K20490	1
K00860	64
K20492	1
K01714	800
K06167	6
K07497	10
K01715	345
K00868	33
K01712	1355
K00865	21
K06168	198
K07499	6
K01710	2251
K00864	573
K01711	496
K07017	40
K08348	185
K08349	29
K07050	26
K07052	6
K11991	89
K07053	149
K03929	1
K07056	154
K08384	15
K01749	9
K11997	40
K01740	1006
K00891	96
K19002	74
K07047	4
K23976	61
K23977	2
K03925	42
K01745	1431
K03924	1498
K07048	5
K03923	25
K20469	5
K01744	1671
K00895	3054
K06192	5
K08372	166
K07040	56
K06193	25
K07043	1
K23508	38
K07042	95
K01738	436
K07045	2
K19005	178
K11527	186
K10679	125
K00881	1
K00882	66
K19013	185
K01736	570
K01737	15
K01734	1735
K23989	255
K09697	6
K01735	122
K07037	168
K01733	13
K07039	19
K08320	3
K08321	7
K06143	1
K07473	1
K06142	1720
K08313	2
K20444	52
K06133	12
K08314	398
K07464	1
K00833	259
K07469	60
K17282	22
K00831	3006
K17281	23
K08316	17
K07462	68
K06131	22
K00826	1325
Keratin_2_head	2576
K18138	2732
K18139	1013
K18142	13
K03098	3
K05275	114
K08302	1266
K08303	189
K20452	57
K07456	241
K08300	7
K00821	484
K20453	174
K08301	223
K07455	18
K07458	3
K00820	780
K08307	251
K08304	2
K07459	95
K20429	39
K01709	242
K07493	1
K01708	2
K07012	4
K00858	22
K00859	33
K18104	7
K07487	1
K01703	72
K07003	1
K09667	5889
K01704	33
K00857	33
K07486	2
K00854	962
K07005	55
K06158	241
K01702	80
K07007	15
K00852	30
K00853	39
K21755	1
K00850	3240
K07481	11
K00849	5558
K07483	7
K07001	261
K00847	255
K06153	113
K00848	120
K19449	8
K18120	1
K00845	2499
K08324	4
K08325	356
